CategoryId,Category Name,Category Description,,,
1,iPhone,Category for discussions related to iPhone.,,,
2,iPad,Category for discussions related to iPad.,,,
3,Rumor,Category for rumors and speculations.,,,
4,Promo Sunday,Category for promotional content on Sundays.,,,
5,iOS,Category for discussions related to iOS.,,,
6,Apple Tv+,Category for discussions related to Apple TV+.,,,
7,Mac,Category for discussions related to Mac computers.,,,
8,Discussion,General discussion category.,,,
9,Apple Reatail,Category for discussions related to Apple retail stores.,,,
10,macOS,Category for discussions related to macOS.,,,
11,Apple Pay,Category for discussions related to Apple Pay.,,,
12,Apple Health,Category for discussions related to Apple Health.,,,
13,iPod,Category for discussions related to iPod.,,,
14,Apple Music,Category for discussions related to Apple Music.,,,
15,System Status,Category for discussions related to Apple system status.,,,
16,iCloud,Category for discussions related to iCloud.,,,
17,AirTags,Category for discussions related to Apple AirTags.,,,
18,HomePod,Category for discussions related to HomePod.,,,
19,Apple Card,Category for discussions related to Apple Card.,,,
20,watchOS,Category for discussions related to Apple Watch operating system (watchOS).,,,
21,CarPlay,Category for discussions related to Apple CarPlay.,,,